48,09680655250849
94,9003118557855
85,10127893521685
41,77927364326455
30,370531531067865
71,74492219239956
52,961496862978414
22,547619669225064
72,72467641591177
46,958832277148964
22,760347777504272
37,55229866437052
27,729434815735857
59,55175764442241
47,3734607010628
96,66452574114263
45,0119155502074
29,698689938263385
50,73339377994051
56,54559218750291
18,906438547897984
26,961535080204072
42,82332780618376
35,9634026664976
35,78980158774196
26,437391720029716
32,06270867060326
55,819266812480336
39,924828267717906
37,779694584298326
84,18614450041872
22,421421941264104
54,338750678650484
63,61323769117224
50,967642747002586
43,39545309003625
92,83167489425588
56,250267172685945
34,56622202652104
45,545227865051544
58,301292060290116
53,75629933434196
51,796983820103875
28,29778673338587
82,13323745016835
50,905656429081326
13,017551250432156
37,13502226313367
70,27824029568983
25,928374017613073
46,248842580016124
66,92510546216542
80,11856517602983
67,77014203348193
73,88165777485747
46,70998462909469
48,89273625292868
47,82444753839732
39,619488345455416
75,62913117690698
18,211535155398273
34,80405639532773
60,319707523071614
34,42311403317373
42,65869796113303
67,90466653401873
53,568076757481805
21,5923370157535
65,98339286503608
74,44175896179192
27,684780497947198
54,960818031736196
27,99825420495129
55,52183129131791
33,867770931924
10,827523684674738
61,58576962517242
25,802284893082952
75,60818646677073
-1,8461580763279173
76,77256205723123
67,95383825307616
81,48211184142176
33,48659996967221
54,278150607664344
41,51670156779347
61,451477631163485
35,940016035992386
38,170795577007254
37,67005335060631
54,852786205338475
45,88937108232084
60,32314598828564
104,94203473506766
30,610495360078204
61,42455125175045
41,47032678383385
53,228898504243915
90,79552112300159
48,724681297901505
